time,C,I,V,c_a_max,c_a_min,c_c_max,c_c_min,mass_a,mass_c,mass_e,pulse_out
26.5,-0.0074618291395608,0.00028109897851874,0.54188664678919,0.0077339511355715,0.0077300933965398,0.0076176746034838,0.0076146229823295,1.1597336675541e-05,9.1398986752325e-06,3.303e-08,0.01
27.5,-0.007742928128521,0.0002810989889602,0.54188675655408,0.0077358973730758,0.0077320332299711,0.0076152824376511,0.0076122375163185,1.1600250071291e-05,9.1370309548079e-06,3.303e-08,0.01
28.5,-0.0080240271279142,0.00028109899939324,0.54188686632532,0.0077378436125439,0.0077339730623244,0.0076128902732184,0.007609852047475,1.1603163467149e-05,9.1341632342432e-06,3.303e-08,0.01
29.5,-0.0083051261377321,0.00028109900981788,0.54188697610287,0.0077397898539756,0.0077359128936007,0.0076104981101873,0.0076074665757961,1.1606076863116e-05,9.1312955135383e-06,3.303e-08,0.01
30.5,-0.0085862251579663,0.00028109902023419,0.54188708588743,0.0077417360973707,0.0077378527238006,0.0076081059485593,0.0076050811012787,1.160899025919e-05,9.1284277926931e-06,3.303e-08,0.01
31.5,-0.0088673241886084,0.00028109903064211,0.54188719567876,0.0077436823427293,0.0077397925529249,0.0076057137883358,0.0076026956239199,1.1611903655372e-05,9.1255600717073e-06,3.303e-08,0.01
32.5,-0.0091484232296501,0.0002810990410417,0.54188730547739,0.0077456285900517,0.0077417323809745,0.0076033216295184,0.0076003101437166,1.1614817051662e-05,9.122692350581e-06,3.303e-08,0.01
33.5,-0.0094295222810831,0.00028109905143299,0.5418874152835,0.0077475748393383,0.00774367220795,0.0076009294721085,0.0075979246606657,1.161773044806e-05,9.1198246293138e-06,3.303e-08,0.01
34.5,-0.0097106213428991,0.00028109906181596,0.54188752509722,0.0077495210905901,0.0077456120338522,0.0075985373161077,0.0075955391747642,1.1620643844565e-05,9.1169569079057e-06,3.303e-08,0.01
35.5,-0.0099917204150897,0.00028109907219063,0.54188763491884,0.0077514673438081,0.0077475518586818,0.0075961451615175,0.007593153686009,1.1623557241178e-05,9.1140891863565e-06,3.303e-08,0.01
36.5,-0.010272819497647,0.00028109908255702,0.54188774474859,0.0077534135989938,0.0077494916824395,0.0075937530083393,0.007590768194397,1.1626470637899e-05,9.111221464666e-06,3.303e-08,0.01
37.5,-0.010553918590562,0.00028109909291519,0.54188785458681,0.0077553598561491,0.0077514315051259,0.0075913608565748,0.0075883826999252,1.1629384034726e-05,9.1083537428341e-06,3.303e-08,0.01
38.5,-0.010835017693827,0.00028109910326507,0.54188796443346,0.0077573061152764,0.0077533713267418,0.0075889687062254,0.0075859972025905,1.1632297431661e-05,9.1054860208607e-06,3.303e-08,0.01
39.5,-0.011116116807434,0.00028109911360676,0.54188807428907,0.0077592523763785,0.0077553111472878,0.0075865765572926,0.0075836117023897,1.1635210828703e-05,9.1026182987456e-06,3.303e-08,0.01
40.5,-0.011397215931374,0.00028109912394023,0.54188818415369,0.0077611986394588,0.0077572509667643,0.0075841844097781,0.0075812261993198,1.1638124225852e-05,9.0997505764886e-06,3.303e-08,0.01
41.5,-0.011678315065639,0.0002810991342655,0.5418882940276,0.0077631449045213,0.0077591907851721,0.0075817922636833,0.0075788406933777,1.1641037623109e-05,9.0968828540896e-06,3.303e-08,0.01
42.5,-0.011959414210222,0.00028109914458259,0.54188840391106,0.0077650911715709,0.0077611306025116,0.0075794001190097,0.0075764551845602,1.1643951020472e-05,9.0940151315484e-06,3.303e-08,0.01
43.5,-0.012240513365114,0.00028109915489152,0.54188851380431,0.0077670374406132,0.0077630704187832,0.007577007975759,0.0075740696728642,1.1646864417942e-05,9.0911474088649e-06,3.303e-08,0.01
44.5,-0.012521612530306,0.00028109916519231,0.54188862370749,0.0077689837116548,0.0077650102339874,0.0075746158339327,0.0075716841582865,1.1649777815519e-05,9.0882796860389e-06,3.303e-08,0.01
45.5,-0.012802711705791,0.00028109917548495,0.54188873362095,0.0077709299847032,0.0077669500481246,0.0075722236935323,0.007569298640824,1.1652691213202e-05,9.0854119630703e-06,3.303e-08,0.01
46.5,-0.01308381089156,0.00028109918576948,0.54188884354487,0.0077728762597673,0.0077688898611951,0.0075698315545594,0.0075669131204736,1.1655604610992e-05,9.0825442399589e-06,3.303e-08,0.01
47.5,-0.013364910087606,0.00028109919604591,0.54188895347945,0.0077748225368571,0.007770829673199,0.0075674394170156,0.007564527597232,1.1658518008888e-05,9.0796765167046e-06,3.303e-08,0.01
48.5,-0.01364600929392,0.00028109920631423,0.54188906342492,0.0077767688159843,0.0077727694841365,0.0075650472809024,0.0075621420710962,1.1661431406891e-05,9.0768087933072e-06,3.303e-08,0.01
49.5,-0.013927108510495,0.00028109921657452,0.54188917338168,0.0077787150971621,0.0077747092940078,0.0075626551462214,0.0075597565420628,1.1664344805001e-05,9.0739410697665e-06,3.303e-08,0.01
50.5,-0.014208207737322,0.00028109922682672,0.54188928334981,0.0077806613804058,0.0077766491028126,0.0075602630129741,0.0075573710101287,1.1667258203216e-05,9.0710733460824e-06,3.303e-08,0.01
